year,ref_color,counts
2010,#C0C0C0,463
2010,#C71585,68
2010,#CD5C5C,366
2010,#CD853F,529
2010,#D2691E,226
2010,#D2B48C,1149
2010,#D3D3D3,246
2010,#D8BFD8,226
2010,#DA70D6,30
2010,#DAA520,145
2010,#DB7093,236
2010,#DC143C,63
2010,#DCDCDC,251
2010,#DDA0DD,192
2010,#DEB887,444
2010,#E0FFFF,42
2010,#E6E6FA,115
2010,#E9967A,505
2010,#EE82EE,11
2010,#EEE8AA,88
2010,#F08080,63
2010,#F0E68C,155
2010,#F0F8FF,66
2010,#F0FFF0,41
2010,#F0FFFF,34
2010,#F4A460,158
2010,#F5DEB3,145
2010,#F5F5DC,59
2010,#F5F5F5,76
2010,#F5FFFA,10
2010,#F8F8FF,8
2010,#FA8072,37
2010,#FAEBD7,150
2010,#FAF0E6,76
2010,#FAFAD2,35
2010,#FDF5E6,25
2010,#FF0000,3
2010,#FF00FF,3
2010,#FF1493,4
2010,#FF4500,18
2010,#FF6347,39
2010,#FF69B4,12
2010,#FF7F50,48
2010,#FF8C00,15
2010,#FFA07A,38
2010,#FFA500,18
2010,#FFB6C1,40
2010,#FFC0CB,71
2010,#FFD700,35
2010,#FFDAB9,150
2010,#FFDEAD,62
2010,#FFE4B5,13
2010,#FFE4C4,52
2010,#FFE4E1,83
2010,#FFEBCD,47
2010,#FFEFD5,7
2010,#FFF0F5,21
2010,#FFF5EE,6
2010,#FFF8DC,7
2010,#FFFACD,15
2010,#FFFAF0,17
2010,#FFFAFA,3
2010,#FFFF00,4
2010,#FFFFE0,3
2010,#FFFFF0,5
2010,#FFFFFF,15
